,Valence_VAD,Arousal_VAD,Dominance_VAD
0,0.125,0.9079999999999999,0.336
2,0.531,0.653,0.877
5,0.698,0.408,0.688
6,0.125,0.9490000000000001,0.648
8,0.7290000000000001,0.684,0.682
9,0.354,0.7040000000000001,0.645
10,0.5,0.75,0.609
11,0.51,0.36700000000000005,0.509
12,0.122,0.83,0.604
13,0.51,0.7240000000000001,0.545
14,0.44799999999999995,0.21600000000000003,0.21600000000000003
15,0.7190000000000001,0.39299999999999996,0.58
19,0.552,0.285,0.469
20,0.41700000000000004,0.759,0.902
21,0.802,0.442,0.732
23,0.7809999999999999,0.439,0.795
24,0.698,0.61,0.613
25,0.775,0.34299999999999997,0.7490000000000001
26,0.265,0.915,0.6829999999999999
30,0.612,0.23,0.24100000000000002
33,0.5,0.531,0.48100000000000004
34,0.792,0.643,0.456
35,0.66,0.76,0.563
39,0.604,0.17300000000000001,0.327
44,0.552,0.51,0.505
46,0.802,0.588,0.812
47,0.7290000000000001,0.35700000000000004,0.364
49,0.6559999999999999,0.185,0.365
50,0.516,0.42,0.5539999999999999
51,0.48,0.7190000000000001,0.473
52,0.802,0.21,0.606
54,0.11199999999999999,0.69,0.47200000000000003
56,0.469,0.2,0.28300000000000003
57,0.479,0.588,0.391
58,0.40700000000000003,0.41100000000000003,0.4
59,0.688,0.569,0.755
60,0.653,0.51,0.802
61,0.892,0.327,0.314
62,0.43799999999999994,0.49,0.42100000000000004
63,0.39799999999999996,0.225,0.264
65,0.757,0.4,0.382
66,0.54,0.282,0.314
67,0.64,0.28800000000000003,0.379
68,0.7759999999999999,0.54,0.5
69,0.927,0.888,0.555
70,0.65,0.5379999999999999,0.491
71,0.5,0.235,0.27899999999999997
72,0.867,0.552,0.7140000000000001
74,0.562,0.08199999999999999,0.276
77,0.688,0.18600000000000003,0.25
78,0.7140000000000001,0.21,0.294
79,0.594,0.306,0.39399999999999996
81,0.573,0.541,0.46399999999999997
82,0.573,0.562,0.409
83,0.885,0.48,0.418
84,0.7040000000000001,0.298,0.473
85,0.708,0.198,0.61
87,0.45899999999999996,0.52,0.51
88,0.5920000000000001,0.45299999999999996,0.41100000000000003
90,0.74,0.133,0.342
92,0.823,0.418,0.309
93,0.39799999999999996,0.5379999999999999,0.348
95,0.49,0.12300000000000001,0.268
96,0.531,0.615,0.9059999999999999
98,0.802,0.35600000000000004,0.639
100,0.594,0.196,0.292
104,0.479,0.769,0.8270000000000001
105,0.7929999999999999,0.33,0.363
106,0.653,0.24,0.40700000000000003
107,0.021,0.83,0.529
108,0.22399999999999998,0.439,0.363
110,0.033,0.72,0.375
112,0.10400000000000001,0.635,0.182
116,0.052000000000000005,0.45399999999999996,0.19399999999999998
118,0.02,0.696,0.34299999999999997
120,0.19399999999999998,0.435,0.318
121,0.51,0.135,0.42200000000000004
126,0.7,0.531,0.861
127,0.7040000000000001,0.5,0.40700000000000003
130,0.32799999999999996,0.602,0.48100000000000004
131,0.153,0.792,0.368
133,0.615,0.679,0.33899999999999997
134,0.594,0.337,0.23600000000000002
135,0.406,0.294,0.255
136,0.772,0.431,0.6729999999999999
137,0.684,0.24100000000000002,0.293
138,0.5920000000000001,0.152,0.32299999999999995
139,0.625,0.519,0.6509999999999999
140,0.531,0.51,0.615
142,0.51,0.345,0.321
144,0.9490000000000001,0.49,0.452
146,0.7190000000000001,0.5,0.875
147,0.24,0.7040000000000001,0.42700000000000005
148,0.615,0.40700000000000003,0.449
149,0.5,0.53,0.518
150,0.604,0.35,0.42100000000000004
151,0.45799999999999996,0.185,0.318
152,0.24,0.696,0.318
153,0.32299999999999995,0.54,0.53
155,0.531,0.265,0.425
157,0.968,0.38299999999999995,0.643
159,0.7809999999999999,0.327,0.297
161,0.5710000000000001,0.479,0.7120000000000001
165,0.354,0.386,0.556
167,0.87,0.706,0.7140000000000001
170,0.321,0.264,0.29100000000000004
171,0.735,0.863,0.579
176,0.184,0.833,0.363
177,0.49,0.29,0.254
178,0.755,0.76,0.5820000000000001
181,0.917,0.39799999999999996,0.598
182,0.9179999999999999,0.843,0.667
183,0.073,0.38,0.39299999999999996
184,0.77,0.23,0.456
188,0.49,0.529,0.462
190,0.63,0.306,0.33299999999999996
191,0.07,0.64,0.474
192,0.092,0.635,0.364
193,0.5920000000000001,0.51,0.725
194,0.20800000000000002,0.5670000000000001,0.20600000000000002
195,0.573,0.22699999999999998,0.213
196,0.042,0.953,0.6729999999999999
197,0.5820000000000001,0.18600000000000003,0.28600000000000003
200,0.6729999999999999,0.245,0.40399999999999997
201,0.52,0.39399999999999996,0.349
203,0.816,0.654,0.49200000000000005
204,1.0,0.735,0.772
206,0.618,0.31,0.35600000000000004
207,0.583,0.53,0.631
208,0.25,0.45399999999999996,0.6
210,0.7040000000000001,0.445,0.818
211,0.8440000000000001,0.802,0.898
212,0.583,0.722,0.902
213,0.64,0.583,0.425
215,0.8540000000000001,0.27,0.545
219,0.635,0.51,0.529
221,0.49,0.74,0.573
223,0.177,0.958,0.787
224,0.7809999999999999,0.287,0.537
226,0.516,0.45899999999999996,0.805
231,0.39,0.5870000000000001,0.508
232,0.745,0.34700000000000003,0.43200000000000005
234,0.5,0.51,0.42
235,0.146,0.7829999999999999,0.48100000000000004
236,0.7040000000000001,0.61,0.316
238,0.98,0.8240000000000001,0.794
239,0.51,0.604,0.857
240,0.5,0.51,0.48100000000000004
241,0.479,0.607,0.789
242,0.653,0.33799999999999997,0.282
243,0.615,0.275,0.519
244,0.573,0.27899999999999997,0.349
245,0.9670000000000001,0.813,0.63
246,0.7,0.23399999999999999,0.39799999999999996
247,0.847,0.43,0.8959999999999999
252,0.521,0.569,0.784
254,0.765,0.34299999999999997,0.713
255,0.6609999999999999,0.287,0.41200000000000003
258,0.638,0.531,0.64
260,0.88,0.6729999999999999,0.6759999999999999
262,0.25,0.226,0.23800000000000002
263,0.541,0.353,0.5429999999999999
264,0.573,0.65,0.87
265,1.0,0.519,0.6729999999999999
266,0.8540000000000001,0.49,0.7170000000000001
267,0.469,0.9440000000000001,0.518
268,0.615,0.332,0.377
269,0.684,0.56,0.93
270,0.073,0.8109999999999999,0.49200000000000005
273,0.469,0.48100000000000004,0.818
274,0.708,0.318,0.679
275,0.75,0.569,0.613
276,0.7190000000000001,0.22899999999999998,0.5
277,0.547,0.441,0.892
278,0.29600000000000004,0.7879999999999999,0.5670000000000001
280,0.648,0.373,0.318
281,0.7,0.45899999999999996,0.7959999999999999
282,0.688,0.235,0.444
283,0.22899999999999998,0.4,0.198
284,0.667,0.588,0.6629999999999999
285,0.698,0.408,0.649
286,0.42700000000000005,0.441,0.20600000000000002
287,0.7340000000000001,0.294,0.336
288,0.359,0.49,0.645
290,0.9079999999999999,0.63,0.53
291,0.5,0.34600000000000003,0.275
293,0.917,0.49,0.5820000000000001
294,0.602,0.28300000000000003,0.444
295,0.598,0.396,0.40399999999999997
296,0.5820000000000001,0.27,0.245
297,0.531,0.23,0.47700000000000004
298,0.406,0.231,0.47100000000000003
299,0.583,0.245,0.536
302,0.6459999999999999,0.315,0.6829999999999999
304,0.792,0.685,0.509
305,0.41700000000000004,0.442,0.48200000000000004
306,0.812,0.35700000000000004,0.86
312,0.9390000000000001,0.156,0.613
313,0.867,0.10800000000000001,0.569
314,0.622,0.19399999999999998,0.25
319,0.88,0.402,0.368
322,0.677,0.316,0.245
323,0.51,0.35600000000000004,0.386
324,0.633,0.491,0.517
327,0.542,0.708,0.898
328,0.32299999999999995,0.551,0.863
329,0.7190000000000001,0.67,0.953
331,0.6729999999999999,0.183,0.415
332,0.561,0.324,0.648
333,0.11199999999999999,0.677,0.491
336,0.539,0.177,0.355
338,0.5,0.316,0.39799999999999996
339,0.41,0.28600000000000003,0.314
341,0.735,0.336,0.29100000000000004
348,0.688,0.392,0.605
349,0.664,0.8240000000000001,0.774
350,0.552,0.26,0.46399999999999997
351,0.865,0.276,0.386
353,0.255,0.5820000000000001,0.282
354,0.7190000000000001,0.392,0.381
355,0.76,0.25,0.444
357,0.45799999999999996,0.655,0.47200000000000003
358,0.316,0.541,0.518
359,0.688,0.444,0.48200000000000004
360,0.765,0.423,0.633
362,0.45799999999999996,0.462,0.302
364,0.188,0.863,0.594
365,0.214,0.802,0.306
367,0.06,0.67,0.155
368,0.885,0.604,0.787
370,0.10400000000000001,0.431,0.136
373,0.542,0.205,0.12
374,0.276,0.75,0.5489999999999999
377,0.76,0.179,0.23199999999999998
378,0.392,0.708,0.768
379,0.7290000000000001,0.353,0.28800000000000003
380,0.302,0.198,0.369
382,0.938,0.327,0.564
384,0.25,0.731,0.375
385,0.235,0.875,0.6829999999999999
387,0.21600000000000003,0.183,0.561
390,0.594,0.324,0.39799999999999996
394,0.792,0.34,0.42
395,0.812,0.373,0.55
396,0.877,0.4,0.6809999999999999
397,0.8270000000000001,0.49700000000000005,0.634
398,0.765,0.49,0.6
399,0.551,0.17,0.284
400,0.5710000000000001,0.271,0.395
401,0.26,0.48100000000000004,0.534
402,0.698,0.163,0.37
404,0.708,0.461,0.688
405,0.633,0.391,0.547
406,0.019,0.93,0.679
407,0.615,0.578,0.643
409,0.541,0.17600000000000002,0.42700000000000005
412,0.684,0.387,0.434
414,0.125,0.317,0.191
416,0.327,0.546,0.387
417,0.406,0.221,0.293
420,0.26,0.8959999999999999,0.784
421,0.745,0.48,0.43
422,0.6659999999999999,0.705,0.62
423,0.6459999999999999,0.382,0.667
425,0.43799999999999994,0.6629999999999999,0.612
426,0.684,0.573,0.7
427,0.562,0.5,0.5
429,0.531,0.368,0.546
431,0.888,0.547,0.741
433,0.542,0.402,0.381
434,0.73,0.18899999999999997,0.35600000000000004
435,0.29100000000000004,0.102,0.271
436,0.583,0.24600000000000002,0.255
437,0.354,0.306,0.287
438,0.84,0.49,0.598
439,0.561,0.37799999999999995,0.425
440,0.5820000000000001,0.312,0.414
441,0.29600000000000004,0.778,0.48
446,0.812,0.12300000000000001,0.429
447,0.927,0.5660000000000001,0.862
448,0.5820000000000001,0.39799999999999996,0.509
449,0.342,0.6859999999999999,0.218
452,0.6629999999999999,0.355,0.5
453,0.8440000000000001,0.484,0.775
454,0.562,0.569,0.593
458,0.872,0.51,0.889
459,0.542,0.284,0.415
460,0.6709999999999999,0.275,0.387
461,0.531,0.349,0.382
